Time,Latitiude,Longitude
1545491046,-12.7408,-167.8428
1545491051,-12.4906,-167.6525
1545491057,-12.2152,-167.4437
1545491062,-11.9646,-167.2543
1545491067,-11.7139,-167.0653
1545491072,-11.4379,-166.8578
1545491077,-11.1869,-166.6695
1545491082,-10.9358,-166.4817
1545491088,-10.6593,-166.2754
1545491093,-10.4078,-166.0883
1545491098,-10.1562,-165.9015
1545491103,-9.8793,-165.6964
1545491108,-9.6274,-165.5103
1545491113,-9.3754,-165.3244
1545491119,-9.0981,-165.1204
1545491124,-8.8458,-164.9352
1545491129,-8.5935,-164.7503
1545491134,-8.3157,-164.5472
1545491139,-8.0632,-164.3628
1545491144,-7.8104,-164.1787
1545491149,-7.5576,-163.9949
1545491155,-7.2794,-163.7929
1545491160,-7.0264,-163.6095
1545491165,-6.7479,-163.4080
1545491170,-6.4947,-163.2251
1545491175,-6.2414,-163.0424
1545491181,-5.9627,-162.8416
1545491186,-5.7093,-162.6593
1545491191,-5.4558,-162.4772
1545491196,-5.1768,-162.2770
1545491201,-4.9232,-162.0953
1545491206,-4.6695,-161.9136
1545491212,-4.3903,-161.7140
1545491217,-4.1364,-161.5327
1545491222,-3.8825,-161.3515
1545491227,-3.6031,-161.1522
1545491232,-3.3491,-160.9713
1545491237,-3.0951,-160.7904
1545491243,-2.8156,-160.5916
1545491248,-2.5615,-160.4109
1545491253,-2.3073,-160.2303
1545491259,-2.0277,-160.0317
1545491264,-1.7734,-159.8512
1545491269,-1.5191,-159.6708
1545491274,-1.2648,-159.4905
1545491279,-0.9851,-159.2921
1545491284,-0.7308,-159.1118
1545491289,-0.4765,-158.9316
1545491295,-0.1967,-158.7333
1545491300,0.0576,-158.5530
1545491305,0.3120,-158.3728
1545491310,0.5918,-158.1745
1545491315,0.8462,-157.9941
1545491320,1.1006,-157.8138
1545491326,1.3803,-157.6154
1545491331,1.6346,-157.4350
1545491336,1.8889,-157.2545
1545491341,2.1686,-157.0559
1545491346,2.4228,-156.8753
1545491351,2.6770,-156.6947
1545491357,2.9566,-156.4958
1545491362,3.2108,-156.3150
1545491367,3.4903,-156.1159
1545491372,3.7444,-155.9348
1545491377,3.9984,-155.7536
1545491382,4.2524,-155.5722
1545491388,4.5317,-155.3726
1545491393,4.7855,-155.1910
1545491398,5.0393,-155.0092
1545491403,5.3184,-154.8091
1545491408,5.5720,-154.6270
1545491413,5.8257,-154.4447
1545491419,6.1046,-154.2439
1545491424,6.3580,-154.0612
1545491429,6.6367,-153.8600
1545491434,6.8901,-153.6768
1545491439,7.1433,-153.4934
1545491444,7.3964,-153.3098
1545491450,7.6747,-153.1076
1545491455,7.9277,-152.9235
1545491460,8.2058,-152.7207
1545491465,8.4585,-152.5360
1545491470,8.7111,-152.3511
1545491476,8.9889,-152.1473
1545491481,9.2413,-151.9618
1545491486,9.4935,-151.7760
1545491492,9.7708,-151.5713
1545491497,10.0228,-151.3848
1545491502,10.2747,-151.1980
1545491507,10.5517,-150.9921
1545491512,10.8033,-150.8046
1545491517,11.0548,-150.6167
1545491523,11.3313,-150.4096
1545491528,11.5825,-150.2210
1545491533,11.8335,-150.0319
1545491538,12.1095,-149.8235
1545491543,12.3601,-149.6337
1545491548,12.6107,-149.4435
1545491554,12.8861,-149.2337
1545491559,13.1364,-149.0425
1545491564,13.3863,-148.8510
1545491569,13.6362,-148.6590
1545491574,13.9108,-148.4472
1545491579,14.1602,-148.2543
1545491584,14.4095,-148.0608
1545491590,14.6834,-147.8475
1545491595,14.9323,-147.6530
1545491600,15.1809,-147.4581
1545491605,15.4543,-147.2430
1545491610,15.7025,-147.0469
1545491615,15.9505,-146.8503
1545491621,16.2231,-146.6334
1545491626,16.4707,-146.4357
1545491631,16.7180,-146.2374
1545491636,16.9898,-146.0186
1545491641,17.2367,-145.8190
1545491646,17.4833,-145.6190
1545491652,17.7542,-145.3981
1545491657,18.0003,-145.1967
1545491662,18.2462,-144.9947
1545491667,18.5163,-144.7718
1545491672,18.7616,-144.5684
1545491678,19.0311,-144.3440
1545491683,19.2758,-144.1392
1545491688,19.5203,-143.9338
1545491694,19.7888,-143.7071
1545491699,20.0327,-143.5002
1545491704,20.2762,-143.2926
1545491709,20.5195,-143.0843
1545491714,20.7868,-142.8543
1545491719,21.0294,-142.6444
1545491724,21.2717,-142.4338
1545491730,21.5379,-142.2013
