Time,Latitiude,Longitude
1545504955,11.6404,-45.8314
1545504960,11.3888,-45.6423
1545504965,11.1118,-45.4347
1545504970,10.8599,-45.2464
1545504975,10.6078,-45.0584
1545504981,10.3304,-44.8520
1545504986,10.0781,-44.6647
1545504991,9.8257,-44.4778
1545504996,9.5479,-44.2726
1545505001,9.2951,-44.0863
1545505006,9.0423,-43.9003
1545505012,8.7640,-43.6961
1545505017,8.5110,-43.5107
1545505022,8.2578,-43.3256
1545505027,7.9791,-43.1223
1545505032,7.7257,-42.9377
1545505037,7.4723,-42.7534
1545505043,7.1933,-42.5510
1545505048,6.9396,-42.3671
1545505053,6.6858,-42.1836
1545505059,6.4066,-41.9819
1545505064,6.1527,-41.7988
1545505069,5.8987,-41.6158
1545505074,5.6192,-41.4148
1545505079,5.3651,-41.2323
1545505084,5.1108,-41.0499
1545505090,4.8311,-40.8494
1545505095,4.5768,-40.6674
1545505100,4.2969,-40.4673
1545505105,4.0424,-40.2855
1545505110,3.7879,-40.1039
1545505116,3.5080,-39.9043
1545505121,3.2534,-39.7229
1545505126,2.9988,-39.5416
1545505131,2.7186,-39.3423
1545505136,2.4639,-39.1612
1545505141,2.2091,-38.9802
1545505146,1.9543,-38.7993
1545505152,1.6740,-38.6003
1545505157,1.4193,-38.4195
1545505162,1.1644,-38.2387
1545505167,0.8841,-38.0399
1545505172,0.6293,-37.8592
1545505177,0.3745,-37.6786
1545505183,0.0942,-37.4799
1545505188,-0.1607,-37.2992
1545505193,-0.4156,-37.1186
1545505198,-0.6959,-36.9198
1545505203,-0.9507,-36.7391
1545505208,-1.2055,-36.5584
1545505214,-1.4858,-36.3596
1545505219,-1.7405,-36.1788
1545505224,-1.9952,-35.9980
1545505229,-2.2754,-35.7990
1545505234,-2.5301,-35.6180
1545505239,-2.7847,-35.4369
1545505245,-3.0648,-35.2377
1545505250,-3.3193,-35.0564
1545505255,-3.5738,-34.8751
1545505261,-3.8537,-34.6755
1545505266,-4.1081,-34.4939
1545505271,-4.3624,-34.3122
1545505276,-4.6422,-34.1122
1545505281,-4.8964,-33.9301
1545505286,-5.1506,-33.7480
1545505292,-5.4301,-33.5474
1545505297,-5.6841,-33.3649
1545505302,-5.9380,-33.1823
1545505307,-6.2172,-32.9811
1545505312,-6.4710,-32.7980
1545505317,-6.7247,-32.6147
1545505322,-6.9783,-32.4312
1545505328,-7.2572,-32.2291
1545505333,-7.5107,-32.0451
1545505338,-7.7640,-31.8609
1545505343,-8.0425,-31.6580
1545505348,-8.2956,-31.4733
1545505353,-8.5485,-31.2883
1545505359,-8.8267,-31.0845
1545505364,-9.0794,-30.8990
1545505369,-9.3320,-30.7131
1545505374,-9.5845,-30.5269
1545505379,-9.8622,-30.3218
1545505384,-10.1146,-30.1348
1545505390,-10.3919,-29.9290
1545505395,-10.6438,-29.7415
1545505400,-10.8956,-29.5536
1545505405,-11.1725,-29.3466
1545505410,-11.4239,-29.1580
1545505415,-11.6753,-28.9690
1545505421,-11.9516,-28.7607
1545505426,-12.2026,-28.5710
1545505431,-12.4534,-28.3808
1545505436,-12.7292,-28.1711
1545505441,-12.9797,-27.9801
1545505446,-13.2300,-27.7886
